Date,Sales,z_score,Method
2015-01-04,304.508,,Isolation Forest
2015-02-22,224.912,-1.6721528300486135,Isolation Forest
2015-03-22,37703.665,2.384854999597558,Both
2015-07-26,21590.079999999998,2.0887112295527888,Both
2015-09-13,29959.137,1.8280455172174974,Isolation Forest
2015-11-22,26793.6235,1.9210675041476115,Isolation Forest
2016-03-20,13310.136,2.209014026903842,Z-Score
2016-11-13,27965.3492,1.8243634600003977,Isolation Forest
2017-02-05,17926.368,2.4195274378916545,Z-Score
2017-05-28,23367.662000000004,2.1055111500771257,Z-Score
2017-10-08,28412.098,2.1287092828133325,Both
2018-03-25,26029.904,1.9591178813315124,Isolation Forest
2018-09-23,26104.432999999997,1.702347789777193,Isolation Forest
2018-11-04,29017.466999999997,1.2444412829795408,Isolation Forest
2018-11-18,30572.447,0.88116974077752,Isolation Forest
2018-12-02,35998.9,1.5889796283058788,Isolation Forest
2018-12-16,11542.833999999999,,Isolation Forest
2018-12-30,15210.8858,,Isolation Forest
